Cech Petr,arsenal,7.2
Iliev Dejan,arsenal,4.5
Macey Matt,arsenal,6.8
Ospina David,arsenal,6.5
Begovic Asmir,bournemouth,6.1
Boruc Artur,bournemouth,5.5
Federici Adam,bournemouth,5.4
Krul Tim,brighton,5.4
Maenpaa Niki,brighton,4.5
Ryan Mathew,brighton,6.1
Heaton Tom,burnley,6.4
Legzdins Adam,burnley,5.4
Lindegaard Anders,burnley,5.4
Pope Nick,burnley,6.6
Caballero Wilfredo,chelsea,6.5
Courtois Thibaut,chelsea,7.3
Eduardo,chelsea,6.4
Hennessey Wayne,crystal palace,5.8
Henry Dion,crystal palace,5.4
Speroni Julian,crystal palace,5.5
Hewelt Mateusz,everton,4.5
Pickford Jordan,everton,6.6
Robles Joel,everton,5.7
Stekelenburg Maarten,everton,5.7
Coleman Joel,huddersfield,5.3
Green Robert,huddersfield,5.4
Lossl Jonas,huddersfield,6.2
Hamer Ben,leicester,5.8
Jakupovic Eldin,leicester,5.7
Schmeichel Kasper,leicester,6.8
Karius Loris,liverpool,6.5
Mignolet Simon,liverpool,6.5
Ward Danny,liverpool,6
Bravo Claudio,manchester city,6.2
Ederson,manchester city,7.6
Pereira Joel,manchester utd,5.4
Romero Sergio,manchester utd,6.4
de Gea David,manchester utd,8
Darlow Karl,newcastle,6
Dubravka Martin,newcastle,6.1
Elliot Rob,newcastle,5.5
Forster Fraser,southampton,6.4
McCarthy Alex,southampton,6
Butland Jack,stoke,6.8
Grant Lee,stoke,4.5
Haugaard Jakob,stoke,5.4
Fabianski Lukasz,swansea,6.4
Mulder Erwin,swansea,5.4
Nordfeldt Kristoffer,swansea,5.4
Gazzaniga Paulo,tottenham,5.7
Lloris Hugo,tottenham,7.3
Vorm Michel,tottenham,6.5
Whiteman Alfie,tottenham,5.4
Bachmann Daniel,watford,5.4
Gomes Heurelho,watford,6.1
Karnezis Orestis,watford,6.1
Foster Ben,west brom,6
Myhill Glyn Oliver,west brom,5.4
Palmer Alex,west brom,5.4
Adrián,west ham,6
Hart Joe,west ham,5.8
Trott Nathan,west ham,5.4
Bellerín Héctor,arsenal,8.1
Chambers Calum,arsenal,6.4
Holding Rob,arsenal,6
Kolasinac Sead,arsenal,7.9
Koscielny Laurent,arsenal,8.1
Mavropanos Konstantinos,arsenal,5.8
Mertesacker Per,arsenal,6.4
Monreal Nacho,arsenal,7.7
Mustafi Shkodran,arsenal,7.3
Osei-Tutu Jordi,arsenal,4.5
Ake Nathan,bournemouth,6.8
Cook Steve,bournemouth,6.2
Francis Simon,bournemouth,5.8
Mings Tyrone,bournemouth,5.8
Smith Adam,bournemouth,6.5
Smith Bradley,bournemouth,5.3
Bong Gaetan,brighton,6
Duffy Shane,brighton,6.2
Dunk Lewis,brighton,6.1
Goldson Connor,brighton,5.3
Hunemeier Uwe,brighton,4.5
Mateju Ales,brighton,4.5
Rosenior Liam,brighton,5.3
Saltor Bruno,brighton,6.1
Suttner Markus,brighton,5.8
Bardsley Phillip,burnley,5.8
Long Kevin,burnley,5.5
Lowton Matthew,burnley,5.8
Mee Ben,burnley,6.6
Tarkowski James,burnley,6.1
Ward Stephen,burnley,6.4
Alonso Marcos,chelsea,9.8
Azpilicueta Cesar,chelsea,9.5
Cahill Gary,chelsea,8.4
Chalobah Trevoh,chelsea,5.7
Christensen Andreas,chelsea,7.2
Emerson,chelsea,7.3
Luiz David,chelsea,7.7
Moses Victor,chelsea,8.7
Rudiger Antonio,chelsea,8
Sterling Dujon,chelsea,6.1
Zappacosta Davide,chelsea,8
Dann Scott,crystal palace,6.2
Delaney Damien,crystal palace,5.7
Fosu-Mensah Timothy,crystal palace,6
Jach Jaroslaw,crystal palace,6
Kelly Martin,crystal palace,5.7
Riedewald Jairo,crystal palace,6.2
Sakho Mamadou,crystal palace,6.4
Souare Pape,crystal palace,6.1
Tomkins James,crystal palace,6
Ward Joel,crystal palace,6.4
van Aanholt Patrick,crystal palace,6.9
Baines Leighton,everton,7.6
Coleman Seamus,everton,8.7
Garbutt Luke,everton,5.4
Holgate Mason,everton,5.7
Jagielka Phil,everton,6.4
Keane Michael,everton,7.2
Kenny Jonjoe,everton,5.8
Mangala Eliaquim,everton,6.8
Martina Cuco,everton,6
Williams Ashley,everton,7
Hefele Michael,huddersfield,5.7
Kongolo Terence,huddersfield,6
Lowe Chris,huddersfield,6
Malone Scott,huddersfield,5.8
Schindler Christopher,huddersfield,6.2
Smith Tom,huddersfield,6.4
Zanka,huddersfield,6.1
Benalouane Yohan,leicester,5.7
Chilwell Benjamin,leicester,5.8
Dragovic Aleksandar,leicester,6.6
Fuchs Christian,leicester,6.5
Huth Robert,leicester,6.5
Maguire Harry,leicester,7.5
Morgan Wes,leicester,6
Ndidi Wilfred,leicester,6.6
